UNDERLYING                          ,SYMBOL    ,FEB-22     ,MAR-22     ,APR-22     ,JUN-22     ,SEP-22     ,DEC-22     ,JUN-23     ,DEC-23     ,JUN-24     ,DEC-24     ,JUN-25     ,DEC-25     ,JUN-26     ,DEC-26     
NIFTY MID SELECT                    ,MIDCPNIFTY,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY FINANCIAL SERVICES            ,FINNIFTY  ,40         ,40         ,40         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY BANK                          ,BANKNIFTY ,25         ,25         ,25         ,25         ,25         ,25         ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY 50                            ,NIFTY     ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         
Derivatives on Individual Securities,Symbol    ,FEB-22     ,MAR-22     ,APR-22     ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COFORGE LIMITED                     ,COFORGE   ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. REDDY'S LABORATORIES            ,DRREDDY   ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASIAN PAINTS LIMITED                ,ASIANPAINT,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABB INDIA LIMITED                   ,ABB       ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AARTI INDUSTRIES LTD                ,AARTIIND  ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CITY UNION BANK LTD                 ,CUB       ,3400       ,3400       ,3400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FIRSTSOURCE SOLU. LTD.              ,FSL       ,2600       ,2600       ,2600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ATUL LTD                            ,ATUL      ,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BERGER PAINTS (I) LTD               ,BERGEPAINT,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASTRAL LIMITED                      ,ASTRAL    ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ FINANCE LIMITED               ,BAJFINANCE,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANK OF BARODA                      ,BANKBARODA,11700      ,11700      ,11700      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHEL                                ,BHEL      ,10500      ,10500      ,10500      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CANARA BANK                         ,CANBK     ,5400       ,5400       ,5400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CONTAINER CORP OF IND LTD           ,CONCOR    ,800        ,800        ,800        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL ,4400       ,4400       ,4400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HCL TECHNOLOGIES LTD                ,HCLTECH   ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADITYA BIRLA FASHION & RT           ,ABFRL     ,2600       ,2600       ,2600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AMARA RAJA BATTERIES LTD.           ,AMARAJABAT,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO TYRES LTD                    ,APOLLOTYRE,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BALKRISHNA IND. LTD                 ,BALKRISIND,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BALRAMPUR CHINI MILLS LTD           ,BALRAMCHIN,1600       ,1600       ,1600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ACC LIMITED                         ,ACC       ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALEMBIC PHARMA LTD                  ,APLLTD    ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BOSCH LIMITED                       ,BOSCHLTD  ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJARAT GAS LIMITED                 ,GUJGASLTD ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AUROBINDO PHARMA LTD                ,AUROPHARMA,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CADILA HEALTHCARE LIMITED           ,CADILAHC  ,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EICHER MOTORS LTD                   ,EICHERMOT ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COLGATE PALMOLIVE LTD.              ,COLPAL    ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ESCORTS INDIA LTD                   ,ESCORTS   ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DEEPAK NITRITE LTD                  ,DEEPAKNTR ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GMR INFRASTRUCTURE LTD.             ,GMRINFRA  ,22500      ,22500      ,22500      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC AMC LIMITED                    ,HDFCAMC   ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DIXON TECHNO (INDIA) LTD            ,DIXON     ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DLF LIMITED                         ,DLF       ,1650       ,1650       ,1650       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VODAFONE IDEA LIMITED               ,IDEA      ,70000      ,70000      ,70000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CUMMINS INDIA LTD                   ,CUMMINSIND,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAMART INTERMESH LTD             ,INDIAMART ,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T INFOTECH LIMITED                ,LTI       ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,3600       ,3600       ,3600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NTPC LTD                            ,NTPC      ,5700       ,5700       ,5700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT ELECTRONICS LTD              ,BEL       ,3800       ,3800       ,3800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC BANK LTD                       ,HDFCBANK  ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,1075       ,1075       ,1075       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN COPPER LTD                ,HINDCOPPER,4300       ,4300       ,4300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT FORGE LTD                    ,BHARATFORG,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DIVI'S LABORATORIES LTD             ,DIVISLAB  ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HONEYWELL AUTOMATION IND            ,HONAUT    ,15         ,15         ,15         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABBOTT INDIA LIMITED                ,ABBOTINDIA,25         ,25         ,25         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IDFC LIMITED                        ,IDFC      ,10000      ,10000      ,10000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI PORT & SEZ LTD                ,ADANIPORTS,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
