UNDERLYING,Symbol,LOT_SIZE,CompanyName,Industry,Series,ISINCode
COFORGE LIMITED                     ,COFORGE,100        ,Coforge Ltd.,IT,EQ,INE591G01017
DR. REDDY'S LABORATORIES            ,DRREDDY,125        ,Dr. Reddy's Laboratories Ltd.,PHARMA,EQ,INE089A01023
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125        ,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,EQ,INE437A01024
ASIAN PAINTS LIMITED                ,ASIANPAINT,150        ,Asian Paints Ltd.,CONSUMER GOODS,EQ,INE021A01026
ABB INDIA LIMITED                   ,ABB,250        ,ABB India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE117A01022
AARTI INDUSTRIES LTD                ,AARTIIND,850        ,Aarti Industries Ltd.,CHEMICALS,EQ,INE769A01020
CITY UNION BANK LTD                 ,CUB,3400       ,City Union Bank Ltd.,FINANCIAL SERVICES,EQ,INE491A01021
FIRSTSOURCE SOLU. LTD.              ,FSL,2600       ,Firstsource Solutions Ltd.,IT,EQ,INE684F01012
ATUL LTD                            ,ATUL,75         ,Atul Ltd.,CHEMICALS,EQ,INE100A01010
BERGER PAINTS (I) LTD               ,BERGEPAINT,1100       ,Berger Paints India Ltd.,CONSUMER GOODS,EQ,INE463A01038
CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,1500       ,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,EQ,INE085A01013
ASTRAL LIMITED                      ,ASTRAL,275        ,Astral Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE006I01046
BAJAJ FINANCE LIMITED               ,BAJFINANCE,125        ,Bajaj Finance Ltd.,FINANCIAL SERVICES,EQ,INE296A01024
BANK OF BARODA                      ,BANKBARODA,11700      ,Bank of Baroda,FINANCIAL SERVICES,EQ,INE028A01039
BHEL                                ,BHEL,10500      ,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE257A01026
BRITANNIA INDUSTRIES LTD            ,BRITANNIA,200        ,Britannia Industries Ltd.,CONSUMER GOODS,EQ,INE216A01030
CANARA BANK                         ,CANBK,5400       ,Canara Bank,FINANCIAL SERVICES,EQ,INE476A01014
CONTAINER CORP OF IND LTD           ,CONCOR,800        ,Container Corporation of India Ltd.,SERVICES,EQ,INE111A01025
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL,4400       ,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,EQ,INE674K01013
GODREJ CONSUMER PRODUCTS            ,GODREJCP,500        ,Godrej Consumer Products Ltd.,CONSUMER GOODS,EQ,INE102D01028
HCL TECHNOLOGIES LTD                ,HCLTECH,700        ,HCL Technologies Ltd.,IT,EQ,INE860A01027
ADITYA BIRLA FASHION & RT           ,ABFRL,2600       ,Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,EQ,INE647O01011
AMARA RAJA BATTERIES LTD.           ,AMARAJABAT,1000       ,Amara Raja Batteries Ltd.,AUTOMOBILE,EQ,INE885A01032
APOLLO TYRES LTD                    ,APOLLOTYRE,2500       ,Apollo Tyres Ltd.,AUTOMOBILE,EQ,INE438A01022
ADANI ENTERPRISES LIMITED           ,ADANIENT,500        ,Adani Enterprises Ltd.,METALS,EQ,INE423A01024
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,250        ,Bajaj Auto Ltd.,AUTOMOBILE,EQ,INE917I01010
BALKRISHNA IND. LTD                 ,BALKRISIND,200        ,Balkrishna Industries Ltd.,AUTOMOBILE,EQ,INE787D01026
