SYMBOL,STRIKE_PR,Lot Size,TIMESTAMP,Status,ENTRY,SL,Entry(EQ),Entry(OPT),Invst(EQ),Invst(OPT),Cur Pr(EQ),Cur Pr(OPT),Cur Val(EQ),Cur Val(OPT),P/L (EQ),P/L (OPT),P/L (EQ)%,P/L (OPT)%,Industry
TATAMOTORS,430.0,2850       ,2022-06-09,HOLD,429.1,438.2,428.5,15.4,428.5,43890.0,411.8,18.25,411.8,52012.5,-16.69999999999999,8122.5,-0.038973162193698924,0.18506493506493507,Automobile and Auto Components
BHEL,55.0,10500      ,2022-06-10,HOLD,50.1,51.35,49.8,5.7,49.8,59850.0,44.95,10.3,44.95,108150.00000000001,-4.849999999999994,48300.000000000015,-0.09738955823293162,0.8070175438596494,Capital Goods
BEL,250.0,3800       ,2022-06-13,HOLD,242.15,248.55,235.5,16.45,235.5,62510.0,234.1,17.0,234.1,64600.0,-1.4000000000000057,2090.0,-0.005944798301486223,0.03343465045592705,Capital Goods
ASHOKLEY,140.0,4500       ,2022-06-13,SELL,137.7,141.45,131.85,10.0,131.85,45000.0,145.0,0.45,145.0,2025.0,13.150000000000006,-42975.0,0.099734546833523,-0.955,Capital Goods
ITC,275.0,3200       ,2022-06-08,HOLD,272.25,275.0,267.9,10.1,267.9,32320.0,273.5,1.9,273.5,6080.0,5.600000000000023,-26240.0,0.020903322135125132,-0.8118811881188119,Fast Moving Consumer Goods
BANKBARODA,100.0,11700      ,2022-06-13,HOLD,100.9,103.25,99.95,5.35,99.95,62594.99999999999,97.4,2.3,97.4,26909.999999999996,-2.549999999999997,-35685.0,-0.025512756378189064,-0.5700934579439253,Financial Services
CANBK,210.0,5400       ,2022-06-09,HOLD,207.75,213.7,207.5,12.55,207.5,67770.0,181.25,29.4,181.25,158760.0,-26.25,90990.0,-0.12650602409638553,1.342629482071713,Financial Services
SBIN,470.0,1500       ,2022-06-10,HOLD,463.2,475.55,461.85,16.4,461.85,24599.999999999996,465.9,5.6,465.9,8400.0,4.0499999999999545,-16199.999999999996,0.008769080870412373,-0.6585365853658536,Financial Services
PNB,32.0,16000      ,2022-06-10,HOLD,31.0,31.55,30.9,2.05,30.9,32800.0,29.0,3.1,29.0,49600.0,-1.8999999999999986,16800.0,-0.06148867313915853,0.5121951219512195,Financial Services
IEX,180.0,3750       ,2022-06-15,HOLD,174.95,185.6,174.85,9.4,174.85,35250.0,158.75,21.6,158.75,81000.0,-16.099999999999994,45750.0,-0.09207892479267941,1.297872340425532,Financial Services
M&MFIN,190.0,4000       ,2022-06-13,HOLD,182.35,190.0,172.85,18.95,172.85,75800.0,175.4,14.5,175.4,58000.0,2.5500000000000114,-17800.0,0.014752675730402148,-0.23482849604221637,Financial Services
FEDERALBNK,100.0,10000      ,2022-06-13,HOLD,90.5,92.85,88.7,11.0,88.7,110000.0,90.2,9.05,90.2,90500.0,1.5,-19500.0,0.016910935738444193,-0.17727272727272728,Financial Services
IDFCFIRSTB,35.0,11100      ,2022-06-16,HOLD,32.65,33.6,31.65,3.65,31.65,40515.0,31.45,3.65,31.45,40515.0,-0.1999999999999993,0.0,-0.006319115323854639,0.0,Financial Services
