SYMBOL,STRIKE_PR,Lot Size,TIMESTAMP,Status,ENTRY,SL,Entry(EQ),Entry(OPT),Invst(EQ),Invst(OPT),Cur Pr(EQ),Cur Pr(OPT),Cur Val(EQ),Cur Val(OPT),P/L (EQ),P/L (OPT),P/L (EQ)%,P/L (OPT)%,Industry
TATAMOTORS,420.0,2850       ,2022-06-16,HOLD,405.0,422.65,392.95,31.7,392.95,90345.0,388.95,32.55,388.95,92767.49999999999,-4.0,2422.4999999999854,-0.010179412138948976,0.026813880126182806,Automobile and Auto Components
EXIDEIND,150.0,3600       ,2022-06-13,HOLD,145.7,150.5,141.05,10.2,141.05,36720.0,136.1,13.5,136.1,48600.0,-4.950000000000017,11880.0,-0.03509393831974489,0.3235294117647059,Automobile and Auto Components
BHEL,50.0,10500      ,2022-06-13,HOLD,47.7,50.5,47.45,3.5,47.45,36750.0,44.85,5.25,44.85,55125.0,-2.6000000000000014,18375.0,-0.05479452054794523,0.5,Capital Goods
BEL,240.0,3800       ,2022-06-16,HOLD,234.75,247.7,232.4,11.1,232.4,42180.0,234.7,8.6,234.7,32680.0,2.299999999999983,-9500.0,0.009896729776247774,-0.22522522522522523,Capital Goods
ASHOKLEY,140.0,4500       ,2022-06-13,HOLD,137.05,141.5,131.85,10.0,131.85,45000.0,131.5,9.1,131.5,40950.0,-0.3499999999999943,-4050.0,-0.0026545316647705298,-0.09,Capital Goods
AMBUJACEM,370.0,1500       ,2022-06-06,HOLD,366.75,372.5,364.9,6.55,364.9,9825.0,357.35,12.15,357.35,18225.0,-7.5499999999999545,8400.0,-0.020690600164428488,0.8549618320610687,Construction Materials
ITC,270.0,3200       ,2022-06-13,HOLD,265.05,270.7,264.65,8.25,264.65,26400.0,263.3,8.65,263.3,27680.0,-1.349999999999966,1280.0,-0.005101076894010829,0.048484848484848485,Fast Moving Consumer Goods
CUB,150.0,3400       ,2022-06-06,HOLD,140.6,146.5,140.05,11.35,140.05,38590.0,128.55,13.5,128.55,45900.0,-11.5,7310.0,-0.0821135308818279,0.1894273127753304,Financial Services
SBIN,470.0,1500       ,2022-06-10,HOLD,463.2,475.55,461.85,16.4,461.85,24599.999999999996,441.0,29.95,441.0,44925.0,-20.850000000000023,20325.000000000004,-0.04514452744397536,0.8262195121951222,Financial Services
PNB,35.0,16000      ,2022-05-25,SELL,30.15,30.95,29.8,5.75,29.8,92000.0,31.65,4.05,31.65,64800.0,1.8499999999999979,-27200.0,0.0620805369127516,-0.2956521739130435,Financial Services
MANAPPURAM,95.0,3000       ,2022-06-13,HOLD,91.25,94.6,88.5,7.85,88.5,23550.0,86.25,8.5,86.25,25500.0,-2.25,1950.0,-0.025423728813559324,0.08280254777070063,Financial Services
M&MFIN,190.0,4000       ,2022-06-07,HOLD,185.2,189.45,183.8,10.6,183.8,42400.0,171.3,17.65,171.3,70600.0,-12.5,28200.0,-0.06800870511425462,0.6650943396226415,Financial Services
L&TFH,80.0,8924       ,2022-06-10,HOLD,75.55,78.9,73.7,7.2,73.7,64252.8,67.35,12.8,67.35,114227.20000000001,-6.3500000000000085,49974.40000000001,-0.08616010854816836,0.7777777777777779,Financial Services
IBULHSGFIN,120.0,3100       ,2022-06-06,HOLD,118.5,129.15,116.1,9.4,116.1,29140.0,96.3,24.0,96.3,74400.0,-19.799999999999997,45260.0,-0.17054263565891473,1.553191489361702,Financial Services
IDFCFIRSTB,35.0,11100      ,2022-06-13,HOLD,33.05,34.5,32.9,2.6,32.9,28860.0,31.65,3.55,31.65,39405.0,-1.25,10545.0,-0.037993920972644375,0.36538461538461536,Financial Services
CANBK,200.0,5400       ,2022-06-16,HOLD,183.7,197.5,181.05,20.55,181.05,110970.0,180.85,19.95,180.85,107730.0,-0.20000000000001705,-3240.0,-0.0011046672190003703,-0.029197080291970802,Financial Services
RBLBANK,90.0,2900       ,2022-06-16,HOLD,86.35,102.25,81.9,8.75,81.9,25375.0,81.4,8.65,81.4,25085.0,-0.5,-290.0,-0.006105006105006105,-0.011428571428571429,Financial Services
IEX,200.0,3750       ,2022-06-02,HOLD,190.45,197.6,188.1,15.55,188.1,58312.5,172.75,27.25,172.75,102187.5,-15.349999999999994,43875.0,-0.08160552897395,0.752411575562701,Financial Services
ZEEL,260.0,3000       ,2022-06-07,HOLD,239.1,257.0,238.0,25.0,238.0,75000.0,214.8,43.0,214.8,129000.0,-23.19999999999999,54000.0,-0.09747899159663861,0.72,Media Entertainment & Publication
SAIL,80.0,4750       ,2022-06-13,HOLD,72.6,74.2,71.5,9.0,71.5,42750.0,68.45,11.8,68.45,56050.0,-3.049999999999997,13300.0,-0.04265734265734262,0.3111111111111111,Metals & Mining
NMDC,130.0,6700       ,2022-06-07,HOLD,122.7,126.55,122.7,9.05,122.7,60635.00000000001,108.6,20.6,108.6,138020.0,-14.100000000000009,77385.0,-0.11491442542787293,1.2762430939226517,Metals & Mining
VEDL,320.0,3100       ,2022-06-09,HOLD,309.2,327.4,302.9,22.7,302.9,70370.0,263.95,56.6,263.95,175460.0,-38.94999999999999,105090.0,-0.1285902938263453,1.4933920704845816,Metals & Mining
NATIONALUM,95.0,8500       ,2022-06-01,HOLD,92.65,95.7,92.35,5.85,92.35,49725.0,75.7,19.05,75.7,161925.0,-16.64999999999999,112200.0,-0.18029236599891707,2.2564102564102564,Metals & Mining
JINDALSTEL,400.0,2500       ,2022-06-03,HOLD,373.75,392.8,363.5,41.4,363.5,103500.0,329.2,66.65,329.2,166625.0,-34.30000000000001,63125.0,-0.0943603851444292,0.6099033816425121,Metals & Mining
HINDALCO,420.0,1075       ,2022-06-07,HOLD,406.1,426.95,404.2,24.15,404.2,25961.25,333.7,85.8,333.7,92235.0,-70.5,66273.75,-0.1744186046511628,2.5527950310559007,Metals & Mining
GAIL,150.0,6100       ,2022-06-16,HOLD,143.5,152.1,140.5,10.35,140.5,63135.0,138.95,11.8,138.95,71980.0,-1.5500000000000114,8845.0,-0.01103202846975097,0.14009661835748793,Oil Gas & Consumable Fuels
RELIANCE,2700.0,250        ,2022-06-14,HOLD,2634.0,2732.45,2628.1,107.5,2628.1,26875.0,2590.0,129.3,2590.0,32325.000000000004,-38.09999999999991,5450.000000000004,-0.014497165252463723,0.20279069767441874,Oil Gas & Consumable Fuels
IOC,120.0,6500       ,2022-06-13,HOLD,116.9,120.7,113.6,7.1,113.6,46150.0,104.2,15.35,104.2,99775.0,-9.399999999999991,53625.0,-0.08274647887323937,1.1619718309859155,Oil Gas & Consumable Fuels
COALINDIA,190.0,4200       ,2022-06-16,HOLD,180.5,188.65,179.9,12.5,179.9,52500.0,182.65,9.8,182.65,41160.0,2.75,-11340.0,0.015286270150083379,-0.216,Oil Gas & Consumable Fuels
NTPC,155.0,5700       ,2022-06-13,HOLD,150.35,158.0,148.9,7.2,148.9,41040.0,140.45,14.5,140.45,82650.0,-8.450000000000017,41610.0,-0.056749496306245914,1.0138888888888888,Power
POWERGRID,230.0,5333       ,2022-06-02,HOLD,228.2,235.15,225.55,8.6,225.55,45863.799999999996,211.35,16.2,211.35,86394.59999999999,-14.200000000000017,40530.799999999996,-0.06295721569496793,0.8837209302325582,Power
TATAPOWER,220.0,6750       ,2022-06-16,HOLD,210.2,224.3,209.8,13.45,209.8,90787.5,210.3,12.15,210.3,82012.5,0.5,-8775.0,0.002383222116301239,-0.09665427509293681,Power
IDEA,9.0,70000      ,2022-05-26,HOLD,8.65,9.65,8.6,0.8,8.6,56000.0,8.2,1.0,8.2,70000.0,-0.40000000000000036,14000.0,-0.046511627906976785,0.25,Telecommunication
,,,,,,,,,8403.1,1675562.85,,,,,-376.7999999999999,840836.45,,,
