SYMBOL,STRIKE_PR,Lot Size,TIMESTAMP,Status,ENTRY,SL,Entry(EQ),Entry(OPT),Invst(EQ),Invst(OPT),Cur Pr(EQ),Cur Pr(OPT),Cur Val(EQ),Cur Val(OPT),P/L (EQ),P/L (OPT),P/L (EQ)%,P/L (OPT)%,Industry
TATAMOTORS,420.0,2850       ,2022-05-27,SELL,422.65,405.0,429.6,26.2,429.6,74670.0,392.95,4.6,392.95,13109.999999999998,-36.650000000000034,-61560.0,-0.08531191806331478,-0.8244274809160306,Automobile and Auto Components
M&M,1000.0,700        ,2022-05-31,HOLD,1011.75,957.05,1034.35,57.3,1034.35,40110.0,997.65,20.25,997.65,14175.0,-36.69999999999993,-25935.0,-0.035481220089911475,-0.6465968586387435,Automobile and Auto Components
BHEL,50.0,10500      ,2022-05-27,SELL,50.5,47.7,51.15,3.35,51.15,35175.0,47.45,1.0,47.45,10500.0,-3.6999999999999957,-24675.0,-0.0723362658846529,-0.7014925373134329,Capital Goods
ASHOKLEY,140.0,4500       ,2022-06-02,SELL,141.5,137.05,143.5,8.7,143.5,39150.0,131.85,2.0,131.85,9000.0,-11.650000000000006,-30150.0,-0.08118466898954708,-0.7701149425287356,Capital Goods
AMBUJACEM,370.0,1500       ,2022-06-02,SELL,372.5,366.75,373.5,7.25,373.5,10875.0,364.9,3.75,364.9,5625.0,-8.600000000000023,-5250.0,-0.023025435073627906,-0.4827586206896552,Construction Materials
ITC,270.0,3200       ,2022-06-01,SELL,270.7,265.05,271.85,8.4,271.85,26880.0,264.65,3.7,264.65,11840.0,-7.2000000000000455,-15040.0,-0.026485194040831505,-0.5595238095238095,Fast Moving Consumer Goods
BANKBARODA,100.0,11700      ,2022-05-26,HOLD,97.6,93.0,98.35,3.8,98.35,44460.0,95.05,1.6,95.05,18720.0,-3.299999999999997,-25740.0,-0.03355363497712249,-0.5789473684210527,Financial Services
CANBK,200.0,5400       ,2022-05-27,SELL,197.5,183.7,198.05,6.7,198.05,36180.0,181.05,1.4,181.05,7559.999999999999,-17.0,-28620.0,-0.08583690987124463,-0.7910447761194029,Financial Services
PNB,35.0,16000      ,2022-05-30,SELL,30.95,30.15,31.65,0.3,31.65,4800.0,30.1,0.1,30.1,1600.0,-1.5499999999999972,-3200.0,-0.04897314375987353,-0.6666666666666666,Financial Services
FEDERALBNK,90.0,10000      ,2022-05-30,HOLD,87.45,85.55,90.15,3.4,90.15,34000.0,87.3,1.4,87.3,14000.0,-2.8500000000000085,-20000.0,-0.03161397670549094,-0.5882352941176471,Financial Services
IDFCFIRSTB,35.0,11100      ,2022-05-27,SELL,34.5,33.05,35.6,2.1,35.6,23310.0,32.9,0.5,32.9,5550.0,-2.700000000000003,-17760.0,-0.07584269662921356,-0.7619047619047619,Financial Services
MANAPPURAM,95.0,3000       ,2022-05-31,SELL,94.6,91.25,95.55,5.15,95.55,15450.000000000002,88.5,1.45,88.5,4350.0,-7.049999999999997,-11100.000000000002,-0.07378335949764518,-0.7184466019417476,Financial Services
NATIONALUM,95.0,8500       ,2022-05-31,SELL,95.7,92.65,96.2,5.2,96.2,44200.0,92.35,3.65,92.35,31025.0,-3.8500000000000085,-13175.0,-0.040020790020790106,-0.2980769230769231,Metals & Mining
NMDC,130.0,6700       ,2022-06-02,SELL,126.55,122.7,127.8,4.7,127.8,31490.0,122.0,1.7,122.0,11390.0,-5.799999999999997,-20100.0,-0.04538341158059466,-0.6382978723404256,Metals & Mining
RELIANCE,2700.0,250        ,2022-06-03,SELL,2732.45,2634.0,2779.5,132.3,2779.5,33075.0,2628.1,42.85,2628.1,10712.5,-151.4000000000001,-22362.5,-0.05447022845835585,-0.6761148904006047,Oil Gas & Consumable Fuels
GAIL,150.0,6100       ,2022-06-08,SELL,152.1,143.5,152.45,6.3,152.45,38430.0,140.5,1.45,140.5,8845.0,-11.949999999999989,-29585.0,-0.0783863561823548,-0.7698412698412699,Oil Gas & Consumable Fuels
COALINDIA,190.0,4200       ,2022-05-31,SELL,188.65,180.5,192.9,9.25,192.9,38850.0,179.9,1.7,179.9,7140.0,-13.0,-31710.0,-0.06739243131156039,-0.8162162162162162,Oil Gas & Consumable Fuels
ONGC,145.0,7700       ,2022-06-07,HOLD,155.5,141.1,161.85,17.2,161.85,132440.0,141.45,2.95,141.45,22715.0,-20.400000000000006,-109725.0,-0.1260426320667285,-0.8284883720930233,Oil Gas & Consumable Fuels
NTPC,155.0,5700       ,2022-06-02,SELL,158.0,150.35,159.05,6.7,159.05,38190.0,148.9,1.5,148.9,8550.0,-10.150000000000006,-29640.0,-0.06381640993398306,-0.7761194029850746,Power
TATAPOWER,220.0,6750       ,2022-05-27,SELL,224.3,210.2,224.65,12.55,224.65,84712.5,209.8,3.45,209.8,23287.5,-14.849999999999994,-61425.0,-0.06610282661918537,-0.7250996015936255,Power
,,,,,,,,,6747.7,826447.5,,,,,-370.35000000000014,-586752.5,,,
